GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
By Year,2023-24,-1,TOT,2024-01-18T00:00:00,35,16,19,0.457,554.34,90,197,0.457,14,52,0.269,27,46,0.587,66,105,171,47,35,19,18,14,53,35,221,-71,572.7,2,0,527.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
By Year,2023-24,1610612752,NYK,2024-01-18T00:00:00,10,8,2,0.8,117.455,12,27,0.444,1,5,0.2,3,4,0.75,16,19,35,3,6,3,6,1,13,4,28,-18,95.5,0,0,85.0,5,4,1,1,5,5,5,4,4,4,4,5,5,1,5,5,5,5,5,5,5,1,1,5,5,2,5,5,1,5
By Year,2023-24,1610612761,TOR,2023-12-29T00:00:00,25,8,17,0.32,436.885,78,170,0.459,13,47,0.277,24,42,0.571,50,86,136,44,29,16,12,13,40,31,193,-53,477.2,2,0,442.0,4,4,2,5,4,4,4,3,3,3,2,4,4,4,4,4,4,3,4,4,4,2,2,4,4,4,4,4,1,4
By Year,2022-23,1610612761,TOR,2023-04-09T00:00:00,55,30,25,0.545,1140.52,196,404,0.485,29,108,0.269,87,124,0.702,100,228,328,50,59,31,30,31,102,91,508,-37,1100.6,10,0,1037.0,3,3,3,3,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,3,4,2,2,3,2,1,1,2
By Year,2021-22,1610612761,TOR,2022-04-10T00:00:00,73,46,27,0.63,1724.6533333333334,265,603,0.439,56,156,0.359,78,131,0.595,146,327,473,82,84,37,41,51,151,113,664,72,1504.6,6,0,1431.0,1,1,4,2,1,1,1,5,1,1,1,2,1,3,1,1,1,1,1,1,1,5,5,1,1,1,1,2,1,1
By Year,2020-21,1610612748,MIA,2021-05-16T00:00:00,61,31,30,0.508,737.0833333333334,124,228,0.544,0,1,0.0,56,110,0.509,73,135,208,29,43,20,28,32,91,81,304,-116,698.1,3,0,637.0,2,2,5,4,3,3,3,1,5,5,5,3,3,5,3,3,3,4,3,3,3,4,3,3,3,5,3,3,1,3
By Year,2022-23,1610612763,MEM,2023-01-22T00:00:00,42,28,14,0.667,1133.2916666666667,157,263,0.597,0,1,0.0,47,129,0.364,214,271,485,97,79,36,46,14,98,131,361,243,1255.5,15,0,1107.0,10,9,1,4,10,9,9,4,2,6,2,10,10,10,6,9,9,5,8,10,9,2,1,8,9,5,9,5,2,9
By Year,2021-22,1610612763,MEM,2022-04-09T00:00:00,76,51,25,0.671,1998.5766666666666,210,384,0.547,0,1,0.0,108,199,0.543,349,411,760,256,115,65,60,44,153,200,528,353,2084.0,14,0,1794.0,5,3,4,3,5,7,7,8,2,6,2,6,6,6,3,1,1,1,4,4,7,7,4,5,7,3,4,6,2,4
By Year,2020-21,1610612740,NOP,2021-05-04T00:00:00,58,26,32,0.448,1604.4983333333332,189,308,0.614,0,3,0.0,60,135,0.444,213,301,514,111,78,54,38,20,113,130,438,15,1419.3,13,1,1247.0,9,10,6,10,8,8,8,2,2,1,2,9,9,9,7,7,8,4,9,5,10,3,2,9,8,10,8,7,1,8
By Year,2019-20,1610612760,OKC,2020-08-14T00:00:00,63,40,23,0.635,1680.51,283,478,0.592,1,3,0.333,117,201,0.582,207,376,583,146,94,51,67,32,122,209,684,149,1862.6,22,0,1650.0,8,7,3,5,7,4,4,6,1,1,1,4,5,2,8,2,5,2,6,6,6,6,3,4,4,7,5,3,2,5
By Year,2018-19,1610612760,OKC,2019-04-10T00:00:00,80,47,33,0.588,2669.258333333333,481,809,0.595,0,2,0.0,146,292,0.5,391,369,760,124,135,117,76,50,204,278,1108,389,2650.0,29,0,2378.0,2,4,7,6,1,1,1,5,2,3,2,3,1,8,1,3,1,3,2,1,5,10,7,1,1,2,1,1,2,1
By Year,2017-18,1610612760,OKC,2018-04-11T00:00:00,76,43,33,0.566,2486.8516666666665,448,712,0.629,0,2,0.0,160,286,0.559,384,301,685,88,128,92,78,46,215,278,1056,321,2392.0,28,0,2169.0,5,6,7,8,2,2,2,1,2,3,2,1,2,5,2,7,3,6,3,2,3,9,8,1,2,4,2,2,2,2
By Year,2016-17,1610612760,OKC,2017-04-12T00:00:00,80,47,33,0.588,2389.365,374,655,0.571,0,1,0.0,157,257,0.611,281,332,613,86,146,89,78,44,195,266,905,195,2124.6,16,0,1938.0,2,4,7,6,3,3,3,7,2,6,2,2,3,1,4,4,4,7,1,3,3,7,5,3,3,6,3,4,2,3
By Year,2015-16,1610612760,OKC,2016-04-12T00:00:00,80,54,26,0.675,2014.3883333333333,261,426,0.613,0,0,0.0,114,196,0.582,219,314,533,62,84,42,89,31,223,195,636,478,1677.6,6,0,1493.0,2,2,5,2,4,5,5,3,2,9,2,5,7,3,5,6,6,9,7,7,1,5,10,6,5,1,6,9,2,6
By Year,2014-15,1610612760,OKC,2015-04-15T00:00:00,70,37,33,0.529,1770.55,217,399,0.544,0,2,0.0,103,205,0.502,199,324,523,66,99,38,86,27,222,186,537,46,1536.6,10,0,1374.0,7,8,7,9,6,6,6,9,2,3,2,7,4,7,9,5,7,8,5,9,2,4,9,7,6,9,7,8,2,7